name,degree_centrality,eigenvector_centrality,betweenness_centrality
Warwick,0.52173913,0.34955203,0.33884936
"King
Edward",0.43478261,0.30720388,0.1825293
Gloucester,0.41304348,0.33355795,0.1460341
"King
Henry",0.39130435,0.28905062,0.22099939
"Queen
Margaret",0.30434783,0.29237569,0.03431195
Clifford,0.2826087,0.24704764,0.13547245
York,0.26086957,0.23686972,0.06166593
Clarence,0.23913043,0.23329363,0.05051986
"Prince
Edward",0.23913043,0.24171301,0.03532568
Oxford,0.2173913,0.21064783,0.05310645
Somerset,0.17391304,0.19314699,0.01884096
Montague,0.17391304,0.18136748,0.01472501
Northumberland,0.17391304,0.19503558,0.002886
Hastings,0.15217391,0.1148106,0.02846233
Montgomery,0.10869565,0.07943254,0.01553123
Exeter,0.10869565,0.13758608,0.00105402
"King
Lewis",0.10869565,0.09143032,0.00968599
Mayor,0.08695652,0.07788659,0.0
"2
Watchman",0.08695652,0.05503074,0.02570862
Westmorland,0.08695652,0.10080098,0.0
"Lady
Grey",0.08695652,0.08224411,0.04347826
Norfolk,0.08695652,0.10272896,0.0
"1
Messenger",0.06521739,0.08186197,0.0
"1
Watchman",0.06521739,0.03855184,0.01728655
"Lady
Bona",0.06521739,0.06840408,0.0
Somerville,0.04347826,0.06125941,0.0
Huntsman,0.04347826,0.05976783,0.0
"3
Watchman",0.04347826,0.00872903,0.0
"2
Post",0.04347826,0.05041555,0.0
Soldier,0.04347826,0.01811876,0.0
"2
Keeper",0.04347826,0.02973459,0.0
"1
Post",0.04347826,0.02817646,0.00024155
"1
Keeper",0.04347826,0.02973459,0.0
Father,0.04347826,0.02973459,0.0
Son,0.04347826,0.02973459,0.0
"6
Messenger",0.04347826,0.04219418,0.0
Nobleman,0.02173913,0.02865485,0.0
Rivers,0.02173913,0.00767151,0.0
"3
Messenger",0.02173913,0.0230434,0.0
Lieutenant,0.02173913,0.02696113,0.0
"3
Post",0.02173913,0.03260455,0.0
"2
Messenger",0.02173913,0.03260455,0.0
Tutor,0.02173913,0.0230434,0.0
Rutland,0.02173913,0.0230434,0.0
"4
Messenger",0.02173913,0.03260455,0.0
"5
Messenger",0.02173913,0.03260455,0.0
"Sir
John",0.02173913,0.02209414,0.0
